Date,1st Stage Suction Temperature,1st Stage Suction Pressure,1st Stage Discharge Temperature,1st Stage Discharge Pressure,2nd Stage Suction Temperature,2nd Stage Suction Pressure,2nd Stage Discharge Temperature,2nd Stage Discharge Pressure,3rd Stage Suction Temperature,3rd Stage Suction Pressure,3rd Stage Discharge Temperature,3rd Stage Discharge Pressure,4th Stage Suction Temperature,4th Stage Suction Pressure,4th Stage Discharge Temperature,4th Stage Discharge Pressure,5th Stage Suction Temperature,5th Stage Suction Pressure,5th Stage Discharge Temperature,5th Stage Discharge Pressure,1st Stage Discharge Flow,3rd Stage Discharge Flow,5th Stage Discharge Flow,C3 Splitter Purge to 4th Stage Suction,C2 Splitter Purge to 5th Stage Suction,CW Supply Temperature,CW Flow to Olefins,CW Pressure,Compressor Speed,UHP Steam Flow to KT-1,UHP Steam Pressure,UHP Steam Temperature,HP Steam Extraction Flow from KT-1,HP Steam Extraction Pressure,HP Steam Extraction Temperature,E-24 PG Inlet Temperature,E-20 <U+0394>T,E-21 <U+0394>T,E-22 <U+0394>T,E-23 <U+0394>T,Total Power
6/10/2014,30.24535,0.420738,88.91015,2.006712,32.6225,2.098296,91.59922,5.836346,34.88652,5.7612,91.21908,12.21037,33.70881,12.15855,82.77834,21.36268,31.56727,20.2842,90.88734,39.77286,92.38118,93.82488,89.26524,287,281.9,29.26359,20.53943,4.117504,4554.04,94.6215,105.4889,464.5657,25.5534,45.36809,368.7272,33.0434,56.28766,56.7127,57.51027,49.73494,13.8885
6/11/2014,33.657,0.354,91.477,2.007,32.967,1.934,91.405,5.407,34.709,5.321,90.237,11.395,33.369,12.048,82.146,20.091,30.934,19.048,90.375,37.484,92.016,90.718,85.032,359.2,814.6,29.166,20.44,4.075,4546.4,98.97557,105.6959,459.6152,39.69655,45.38751,368.2147,33.399,58.51,56.696,56.868,48.747,13.57978
6/12/2014,32.85736,0.392626,92.12165,2.038484,34.9829,2.079111,94.05116,5.825295,37.07669,5.730305,93.37013,12.39986,36.12552,12.23072,84.41227,21.74331,33.66671,20.55122,92.7501,39.81346,96.56886,97.99414,95.19398,421,485,30.53449,20.35251,4.052121,4601.987,103.4143,105.7086,459.1587,40.95567,45.67782,367.6295,36.6697,57.13875,56.97447,57.24461,47.74257,14.6584
6/13/2014,31.5,0.4,89.07,2,34.4,2.11,92.03,6,36.9,5.9,92.2,12.7,36.2,12.45,83.4,22.2,33.8,20.92,91.62,39.51,100.03,100.9,98.4,392.6,267.3,29.166,20.44,4.075,4508.8,111.3,105.7,451.9,39.88,45.87,361.19,36.9915,54.67,55.13,56,46.4085,14.71331
6/14/2014,30.3,0.4,87.3,2,33,2.11,90.64,6,35.3,5.9,91.21,12.8,35.3,12.65,82.2,22.3,32.3,21.03,90.01,39.55,101.01,98.5,98.5,306.2,778.3,30.53449,20.35251,4.052121,4488.2,124,105.7,448.5,53.68,45.89,356.98,35.39329,54.3,55.34,55.91,46.80671,14.76176
6/15/2014,31.9228,0.424725,88.61118,2.017133,34.458,2.116471,92.20257,5.976629,36.49041,5.9692,93.2303,12.88555,36.99974,12.86595,83.69297,22.35244,33.56934,21.13246,90.84667,39.83736,99.42519,93.3614,97.87626,200,1137.3,30.33594,20.21375,4.056879,4474.695,119.5209,105.7001,448.7495,63.54048,45.98589,356.8318,36.8282,54.15318,55.71216,56.23056,46.86477,14.31045
6/16/2014,31.4,0.4,86.91,2,34,2.08,89.51,5.8,36.1,5.92,90.06,12.4,36,12.6,81.32,21.5,33.2,20.33,89.14,38.55,92.86,91.4,93.1,200,777.3,30.53449,20.35251,4.052121,4361.9,118.2,105.7,452.4,54.96,46.05,362.2,36.80079,52.91,53.41,54.06,44.51921,13.2803
6/17/2014,30.69962,0.405825,86.19102,1.990683,33.64635,2.064154,88.80156,5.741621,35.489,5.891765,89.29596,12.24384,35.27978,12.3913,80.42925,21.20854,32.3843,20.05127,88.40147,38.21825,90.01551,89.18568,91.74293,192.6039,843.6103,29.93557,20.31448,4.069704,4349.317,98.95848,105.7024,457.1065,43.88058,46.04468,367.771,35.6562,52.54467,53.31256,54.01618,44.77305,12.8403
6/18/2014,29.4,0.4,85.59,2,32.4,1.98,87.88,5.6,34.4,5.81,87.98,11.9,33.9,12.16,89.32,20.9,30.8,19.88,81.14,38.9,88.3,88.2,85.5,158.5,1035.8,29.26359,20.53943,4.117504,4375.8,124,105.7,460.9,53.68,45.89,356.98,34.40526,53.19,53.48,54.08,54.91474,12.73244
6/19/2014,29.8,0.3,86.62,2,32.8,1.96,88.7,5.5,34.8,5.87,88.77,11.8,34.1,11.78,82.14,20.8,31,19.77,90.23,38.7,89.11,89.7,84.9,137.2,1261.7,29.166,20.44,4.075,4412.8,119.5209,105.8,463.6,63.54048,45.98589,356.8318,34.25947,53.82,53.9,54.67,47.88053,13.00993
6/20/2014,30.4,0.3,88.85,2,33.3,1.92,91.29,5.5,35.2,5.87,91.4,11.7,34.4,11.72,84,20.7,31.5,19.62,91.84,38.2,90.16,87.7,85,125,1369.9,30.53449,20.35251,4.052121,4510.8,118.2,105.8,465.5,54.96,46.05,362.2,34.64,55.55,56.09,57,49.36,13.5682
